GENRES,USER_MD5,DOUBAN_SCORE,MOVIE_ID
剧情,392522,6.9,4481
剧情/爱情,122132,6.8,1055
喜剧/爱情,97138,6.2,796
喜剧,95220,6.8,1009
剧情/喜剧,87695,6.9,837
剧情/喜剧/爱情,58639,6.8,485
恐怖,48031,5.2,607
惊悚/恐怖,46725,5.2,447
爱情,41894,6.0,407
动画,41134,7.3,534
惊悚,35448,5.5,397
剧情/犯罪,32783,6.8,327
剧情/家庭,31057,7.5,229
动作,29891,5.7,367
剧情/惊悚,29599,6.3,319
Comedy,,6.8,
传记,,6.9,
传记/历史,,5.9,
传记/历史/冒险,,6.4,
传记/历史/古装,,6.8,
传记/历史/战争,,7.3,
传记/历史/战争/古装,,6.4,
传记/历史/武侠,,6.3,
传记/古装/戏曲,,8.2,
传记/战争,,7.0,
传记/西部,,6.7,
儿童/战争,,7.2,
剧情/Adult,,5.4,
剧情/传记,,7.3,
剧情/传记/冒险,,7.3,
剧情/传记/历史,,7.4,
剧情/传记/历史/冒险,,6.7,
剧情/传记/历史/古装,,6.9,
剧情/传记/历史/战争,,7.6,
剧情/传记/历史/战争/犯罪,,8.0,
剧情/传记/历史/战争/运动,,7.3,
剧情/传记/历史/犯罪,,7.4,
剧情/传记/历史/西部,,6.8,
剧情/传记/古装,,7.6,
剧情/传记/战争,,7.3,
剧情/传记/战争/运动,,6.9,
剧情/传记/犯罪,,7.1,
剧情/传记/犯罪/运动,,6.7,
剧情/传记/运动,,7.6,
剧情/儿童,,6.8,
剧情/儿童/传记,,7.7,
剧情/儿童/冒险,,8.5,
剧情/儿童/历史,,8.0,
剧情/儿童/历史/古装,,8.0,
剧情/儿童/古装,,8.4,
剧情/儿童/奇幻,,7.2,
剧情/儿童/奇幻/冒险,,8.0,
剧情/儿童/战争,,5.2,
剧情/儿童/运动,,7.5,
剧情/冒险,,6.9,
剧情/冒险/灾难,,7.0,
剧情/动作,,6.0,
剧情/动作/传记,,6.6,
剧情/动作/传记/历史,,7.3,
剧情/动作/传记/历史/冒险,,7.5,
剧情/动作/传记/历史/古装,,6.4,
剧情/动作/传记/历史/战争,,7.7,
剧情/动作/传记/历史/战争/古装,,7.2,
剧情/动作/传记/历史/犯罪,,7.8,
剧情/动作/传记/战争,,7.1,
剧情/动作/传记/战争/冒险,,7.5,
剧情/动作/传记/犯罪,,7.0,
剧情/动作/传记/西部,,6.1,
剧情/动作/传记/运动,,6.3,
剧情/动作/儿童,,7.0,
剧情/动作/冒险,,6.5,
剧情/动作/冒险/古装,,5.3,
剧情/动作/冒险/武侠/古装,,7.2,
剧情/动作/冒险/灾难,,7.3,
剧情/动作/冒险/灾难/运动,,8.1,
剧情/动作/动画,,7.9,
剧情/动作/动画/冒险,,8.5,
剧情/动作/动画/历史/战争,,6.8,
剧情/动作/动画/奇幻,,7.8,
剧情/动作/动画/恐怖,,8.2,
剧情/动作/动画/战争,,7.4,
剧情/动作/动画/犯罪,,7.7,
剧情/动作/历史,,6.5,
剧情/动作/历史/冒险,,7.0,
剧情/动作/历史/战争,,7.0,
剧情/动作/历史/战争/冒险,,7.8,
剧情/动作/历史/战争/西部/冒险,,7.5,
剧情/动作/历史/武侠/古装,,5.9,
剧情/动作/历史/犯罪,,8.0,
剧情/动作/古装,,5.8,
剧情/动作/奇幻,,5.5,
剧情/动作/奇幻/冒险,,5.7,
剧情/动作/奇幻/古装,,6.3,
剧情/动作/家庭,,5.3,
剧情/动作/家庭/历史/战争,,8.8,
剧情/动作/家庭/运动,,7.6,
剧情/动作/恐怖,,4.9,
剧情/动作/恐怖/奇幻/古装,,5.6,
剧情/动作/恐怖/战争,,3.9,
剧情/动作/悬疑,,5.9,
剧情/动作/悬疑/历史,,4.6,
剧情/动作/悬疑/古装,,5.0,
剧情/动作/悬疑/奇幻/冒险,,5.7,
剧情/动作/悬疑/恐怖/历史/冒险,,6.3,
剧情/动作/悬疑/惊悚,,6.7,
剧情/动作/悬疑/惊悚/奇幻/冒险,,7.1,
剧情/动作/悬疑/惊悚/恐怖,,6.7,
剧情/动作/悬疑/惊悚/恐怖/犯罪,,6.0,
剧情/动作/悬疑/惊悚/战争,,5.1,
剧情/动作/悬疑/惊悚/犯罪,,6.6,
剧情/动作/悬疑/惊悚/犯罪/冒险,,7.6,
剧情/动作/悬疑/战争,,7.4,
剧情/动作/悬疑/武侠,,6.6,
剧情/动作/悬疑/武侠/古装,,6.2,
剧情/动作/悬疑/犯罪,,6.0,
剧情/动作/情色,,4.8,
剧情/动作/惊悚,,6.5,
剧情/动作/惊悚/传记/犯罪,,7.0,
剧情/动作/惊悚/冒险,,6.8,
剧情/动作/惊悚/历史,,7.7,
剧情/动作/惊悚/历史/战争,,7.1,
剧情/动作/惊悚/历史/战争/冒险,,6.3,
剧情/动作/惊悚/奇幻,,5.7,
剧情/动作/惊悚/奇幻/冒险,,6.4,
剧情/动作/惊悚/恐怖,,5.3,
剧情/动作/惊悚/恐怖/奇幻,,4.2,
剧情/动作/惊悚/恐怖/战争,,6.9,
剧情/动作/惊悚/恐怖/犯罪,,6.1,
剧情/动作/惊悚/战争,,7.0,
剧情/动作/惊悚/战争/冒险,,7.5,
剧情/动作/惊悚/战争/犯罪,,7.5,
剧情/动作/惊悚/灾难,,7.7,
剧情/动作/惊悚/犯罪,,6.5,
剧情/动作/惊悚/犯罪/冒险,,6.3,
剧情/动作/惊悚/犯罪/西部,,6.7,
剧情/动作/惊悚/西部/冒险,,7.8,
剧情/动作/惊悚/运动,,6.7,
剧情/动作/战争,,6.6,
剧情/动作/战争/冒险,,7.4,
剧情/动作/战争/古装,,6.2,
剧情/动作/战争/奇幻/冒险,,6.5,
剧情/动作/战争/武侠/古装,,6.3,
剧情/动作/歌舞/犯罪,,6.6,
剧情/动作/武侠,,5.5,
剧情/动作/武侠/古装,,6.8,
剧情/动作/灾难,,7.3,
剧情/动作/爱情,,6.3,
剧情/动作/爱情/传记,,7.1,
剧情/动作/爱情/冒险,,7.5,
剧情/动作/爱情/动画/历史/奇幻,,7.8,
剧情/动作/爱情/历史,,5.7,
剧情/动作/爱情/历史/战争,,6.4,
剧情/动作/爱情/历史/战争/冒险,,6.7,
剧情/动作/爱情/历史/战争/灾难,,7.2,
剧情/动作/爱情/历史/西部,,7.4,
剧情/动作/爱情/古装,,7.2,
剧情/动作/爱情/奇幻,,5.6,
剧情/动作/爱情/奇幻/冒险,,5.7,
剧情/动作/爱情/奇幻/古装,,5.8,
剧情/动作/爱情/奇幻/武侠/古装,,6.7,
剧情/动作/爱情/悬疑,,6.8,
剧情/动作/爱情/悬疑/奇幻,,6.2,
剧情/动作/爱情/悬疑/惊悚,,8.3,
剧情/动作/爱情/悬疑/惊悚/恐怖/战争,,6.0,
剧情/动作/爱情/悬疑/惊悚/犯罪,,7.4,
剧情/动作/爱情/悬疑/惊悚/音乐,,7.2,
剧情/动作/爱情/悬疑/战争/古装,,3.9,
剧情/动作/爱情/惊悚,,6.4,
剧情/动作/爱情/惊悚/犯罪,,6.9,
剧情/动作/爱情/惊悚/犯罪/冒险,,7.2,
剧情/动作/爱情/战争,,7.2,
剧情/动作/爱情/战争/冒险,,6.8,
剧情/动作/爱情/战争/犯罪,,7.2,
剧情/动作/爱情/歌舞,,7.8,
剧情/动作/爱情/武侠/古装,,7.4,
剧情/动作/爱情/灾难,,7.6,
剧情/动作/爱情/犯罪,,6.6,
剧情/动作/爱情/科幻/动画/悬疑/冒险,,8.3,
剧情/动作/爱情/科幻/奇幻,,6.3,
剧情/动作/爱情/科幻/惊悚,,6.0,
剧情/动作/爱情/科幻/惊悚/恐怖,,5.8,
剧情/动作/爱情/西部,,7.4,
剧情/动作/爱情/西部/冒险,,7.1,
剧情/动作/爱情/运动,,6.8,
剧情/动作/犯罪,,6.3,
剧情/动作/犯罪/冒险,,6.5,
剧情/动作/犯罪/奇幻,,6.7,
剧情/动作/犯罪/西部,,8.0,
剧情/动作/犯罪/运动,,6.6,
剧情/动作/短片,,6.6,
剧情/动作/科幻,,6.8,
剧情/动作/科幻/冒险,,6.6,
剧情/动作/科幻/动画,,8.3,
剧情/动作/科幻/动画/冒险,,6.1,
剧情/动作/科幻/动画/惊悚/犯罪,,7.1,
剧情/动作/科幻/动画/战争/冒险,,6.5,
剧情/动作/科幻/动画/犯罪,,7.1,
剧情/动作/科幻/奇幻,,7.5,
剧情/动作/科幻/恐怖,,7.0,
剧情/动作/科幻/恐怖/冒险,,6.7,
剧情/动作/科幻/恐怖/奇幻,,5.1,
剧情/动作/科幻/恐怖/犯罪,,6.9,
剧情/动作/科幻/悬念,,6.7,
剧情/动作/科幻/悬疑/惊悚/恐怖,,6.2,
剧情/动作/科幻/惊悚,,6.3,
剧情/动作/科幻/惊悚/冒险,,3.8,
剧情/动作/科幻/惊悚/冒险/灾难,,7.4,
剧情/动作/科幻/惊悚/恐怖/冒险,,6.6,
剧情/动作/科幻/惊悚/犯罪,,6.5,
剧情/动作/科幻/犯罪,,4.8,
剧情/动作/科幻/运动,,8.2,
剧情/动作/西部,,6.5,
剧情/动作/西部/冒险,,8.6,
剧情/动作/运动,,6.7,
剧情/动作/音乐/犯罪,,7.3,
剧情/动画,,7.4,
剧情/动画/传记,,8.1,
剧情/动画/传记/历史,,7.5,
剧情/动画/儿童,,8.0,
剧情/动画/儿童/冒险,,4.9,
剧情/动画/儿童/历史/战争/古装,,8.3,
剧情/动画/儿童/灾难,,3.4,
剧情/动画/冒险,,7.7,
剧情/动画/冒险/运动,,7.7,
剧情/动画/历史,,8.0,
剧情/动画/历史/灾难,,8.0,
剧情/动画/同性,,8.0,
剧情/动画/奇幻,,8.1,
剧情/动画/奇幻/冒险,,8.0,
剧情/动画/家庭,,7.5,
剧情/动画/家庭/冒险,,7.7,
剧情/动画/家庭/奇幻,,7.3,
剧情/动画/家庭/犯罪/冒险,,7.9,
剧情/动画/恐怖,,8.0,
剧情/动画/悬疑,,7.2,
剧情/动画/悬疑/冒险,,7.8,
剧情/动画/悬疑/古装/鬼怪,,7.7,
