GENRES,YEAR,MOVIE_ID
剧情,1971-01-01,1774
剧情,1981-01-01,2300
剧情,1991-01-01,2497
剧情,2001-01-01,5009
剧情,2011-01-01,7020
剧情/动作,1971-01-01,340
剧情/动作,1981-01-01,252
剧情/动作,1991-01-01,277
剧情/动作,2001-01-01,313
剧情/动作,2011-01-01,407
剧情/喜剧,1971-01-01,201
剧情/喜剧,1981-01-01,289
剧情/喜剧,1991-01-01,539
剧情/喜剧,2001-01-01,926
剧情/喜剧,2011-01-01,1181
剧情/喜剧/爱情,1971-01-01,61
剧情/喜剧/爱情,1981-01-01,131
剧情/喜剧/爱情,1991-01-01,288
剧情/喜剧/爱情,2001-01-01,552
剧情/喜剧/爱情,2011-01-01,631
剧情/惊悚,1971-01-01,75
剧情/惊悚,1981-01-01,89
剧情/惊悚,1991-01-01,186
剧情/惊悚,2001-01-01,303
剧情/惊悚,2011-01-01,399
剧情/爱情,1971-01-01,289
剧情/爱情,1981-01-01,361
剧情/爱情,1991-01-01,563
剧情/爱情,2001-01-01,920
剧情/爱情,2011-01-01,1368
剧情/犯罪,1971-01-01,334
剧情/犯罪,1981-01-01,230
剧情/犯罪,1991-01-01,360
剧情/犯罪,2001-01-01,416
剧情/犯罪,2011-01-01,506
动作,1971-01-01,487
动作,1981-01-01,480
动作,1991-01-01,758
动作,2001-01-01,711
动作,2011-01-01,818
动画,1971-01-01,130
动画,1981-01-01,454
动画,1991-01-01,506
动画,2001-01-01,792
动画,2011-01-01,1346
喜剧,1971-01-01,1216
喜剧,1981-01-01,1020
喜剧,1991-01-01,1125
喜剧,2001-01-01,1754
喜剧,2011-01-01,1804
喜剧/爱情,1971-01-01,131
喜剧/爱情,1981-01-01,180
喜剧/爱情,1991-01-01,404
喜剧/爱情,2001-01-01,777
喜剧/爱情,2011-01-01,1100
恐怖,1971-01-01,411
恐怖,1981-01-01,546
恐怖,1991-01-01,566
恐怖,2001-01-01,1600
恐怖,2011-01-01,3383
惊悚,1971-01-01,124
惊悚,1981-01-01,155
惊悚,1991-01-01,282
惊悚,2001-01-01,506
惊悚,2011-01-01,865
惊悚/恐怖,1971-01-01,127
惊悚/恐怖,1981-01-01,142
惊悚/恐怖,1991-01-01,128
惊悚/恐怖,2001-01-01,619
惊悚/恐怖,2011-01-01,1035
爱情,1971-01-01,196
爱情,1981-01-01,143
爱情,1991-01-01,176
爱情,2001-01-01,398
爱情,2011-01-01,963
犯罪,1971-01-01,173
犯罪,1981-01-01,165
犯罪,1991-01-01,151
犯罪,2001-01-01,211
犯罪,2011-01-01,309
科幻,1971-01-01,89
科幻,1981-01-01,99
科幻,1991-01-01,128
科幻,2001-01-01,255
科幻,2011-01-01,588
音乐,1971-01-01,35
音乐,1981-01-01,120
音乐,1991-01-01,181
音乐,2001-01-01,622
音乐,2011-01-01,255
